At time    2 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  124 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  126 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  128 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  130 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  132 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  134 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  136 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  138 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  140 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  142 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  144 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  146 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  148 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  150 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  152 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  154 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  156 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  158 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  160 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  162 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  164 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  166 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  168 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  170 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  172 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  174 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  176 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  178 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  180 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  182 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  184 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  186 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  188 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  190 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  192 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  194 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  196 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  198 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  200 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  202 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  204 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  206 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  208 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  210 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  212 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  214 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  216 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  218 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  220 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  222 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  224 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  226 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  228 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  230 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  232 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  234 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  236 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  238 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  240 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  242 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  244 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  246 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  248 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  250 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  252 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  254 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  256 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  258 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  260 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  262 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  264 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  266 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  268 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  270 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  272 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  274 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  276 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  278 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  280 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  282 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  284 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  286 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  288 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  290 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  292 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  294 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  296 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  298 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  300 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  302 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  304 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  306 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  308 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  310 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  312 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  314 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  316 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  318 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  320 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  322 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  324 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  326 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  328 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  330 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  332 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  334 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  336 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  338 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  340 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  342 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  344 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  346 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  348 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  350 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  352 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  354 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  356 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  358 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  360 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  362 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  364 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  366 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  368 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  370 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  372 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  374 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  376 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  378 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  380 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  382 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  384 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  386 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  388 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  390 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  392 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  394 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  396 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  398 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  400 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  402 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  404 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  406 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  408 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  410 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  412 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  414 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  416 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  418 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  420 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  422 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  424 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  426 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  428 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  430 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  432 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  434 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  436 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  438 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  440 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  442 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  444 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  446 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  448 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  450 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  452 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  454 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  456 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  458 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  460 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  462 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  464 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  466 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  468 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  470 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  472 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  474 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  476 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  478 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  480 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  482 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  484 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  486 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  488 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  490 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  492 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  494 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  496 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  498 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  500 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  502 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  504 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  506 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  508 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  510 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  512 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  514 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  516 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  518 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  520 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  522 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  524 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  526 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  528 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  530 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  532 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  534 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  536 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  538 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  540 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  542 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  544 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  546 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  548 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  550 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  552 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  554 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  556 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  558 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  560 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  562 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  564 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  566 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  568 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  570 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  572 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  574 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  576 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  578 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  580 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  582 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  584 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  586 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  588 ps, CLK=   1, RST=0, D_IN=00000000, MATCH=0 
At time  590 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
At time  592 ps, CLK=   1, RST=0, D_IN=00000001, MATCH=0 
